[07/Dec/2015 19:51:00] INFO [django.db.backends:21] Mongodb connected
[07/Dec/2015 19:51:00] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 19:51:10] INFO [django.db.backends:34] Requesting index page
[07/Dec/2015 19:51:16] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 19:51:16] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 19:51:20] INFO [django.db.backends:89] Requesting comments page
[07/Dec/2015 19:51:20] INFO [django.db.backends:98] Displaying updated document
[07/Dec/2015 19:51:47] INFO [django.db.backends:34] Requesting index page
[07/Dec/2015 19:52:33] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 19:52:33] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 19:52:40] INFO [django.db.backends:89] Requesting comments page
[07/Dec/2015 19:52:40] INFO [django.db.backends:98] Displaying updated document
[07/Dec/2015 19:52:48] INFO [django.db.backends:89] Requesting comments page
[07/Dec/2015 19:52:48] INFO [django.db.backends:91] Adding Comments
[07/Dec/2015 19:52:48] INFO [django.db.backends:98] Displaying updated document
[07/Dec/2015 19:52:53] INFO [django.db.backends:34] Requesting index page
[07/Dec/2015 21:19:32] INFO [django.db.backends:21] Mongodb connected
[07/Dec/2015 21:19:32] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:19:33] WARNING [django.request:144] Not Found: /favicon.ico
[07/Dec/2015 21:19:38] INFO [django.db.backends:34] Requesting index page
[07/Dec/2015 21:19:45] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 21:19:45] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 21:19:50] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 21:19:50] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 21:19:52] INFO [django.db.backends:89] Requesting comments page
[07/Dec/2015 21:19:52] INFO [django.db.backends:98] Displaying updated document
[07/Dec/2015 21:19:56] INFO [django.db.backends:89] Requesting comments page
[07/Dec/2015 21:19:56] INFO [django.db.backends:91] Adding Comments
[07/Dec/2015 21:19:56] INFO [django.db.backends:98] Displaying updated document
[07/Dec/2015 21:19:58] INFO [django.db.backends:34] Requesting index page
[07/Dec/2015 21:20:42] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:22:54] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:23:54] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:24:13] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:24:59] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:25:26] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:26:24] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:26:34] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:27:28] INFO [django.db.backends:29] Requesting main page
